Year,T2M,RH2M,PRECTOTCORR,District_Name,NDVI,Yield,Temp_Anomaly,Rain_Anomaly,Humidity_Anomaly,Climate_Anomaly_Score,Climate_Risk_Level
2015,26.667506849315068,44.51687671232877,629.19,Lucknow,0.4903875128599269,2.3689295548137137,1.189581007580587,-1.1884868445535677,-1.3417360231515507,3.719803875285706,High Risk
2016,26.60890710382514,46.55125683060109,869.86,Lucknow,0.3825161584351987,2.670001308480141,1.1071254856331718,-0.19972149960402372,-0.979883895648043,2.2867308808852385,Moderate Risk
2017,26.42158904109589,48.90871232876712,960.07,Lucknow,0.378340454614071,2.580003138087939,0.8435508147299744,0.17089603381475887,-0.5605668369310789,1.5750136854758123,Moderate Risk
2018,26.09906849315069,50.69367123287671,1216.01,Lucknow,0.3827652624878357,2.730016449328915,0.38973314202082565,1.2223964384617287,-0.24307888511856326,1.8552084656011176,Moderate Risk
2019,25.41419178082192,57.75397260273973,1122.86,Lucknow,0.3945737164918589,2.6619956539613554,-0.5739547769720007,0.8397002491483532,1.0127262854856833,2.426381311606037,Moderate Risk
2020,24.975819672131145,56.59530054644809,900.43,Lucknow,0.4232906831113631,2.8280154990552275,-1.190786825082164,-0.07412812861841063,0.8066350319966088,2.0715499856971835,Moderate Risk
2021,25.460520547945205,54.87734246575342,1047.85,Lucknow,0.4292200929026694,2.704001264068843,-0.508765711006053,0.5315301883818875,0.5010644157299033,1.5413603151178439,Moderate Risk
2022,25.61158904109589,57.86668493150685,1104.71,Lucknow,0.4289154559379068,2.871995970643258,-0.29619769815196717,0.765133036737857,1.032774257638938,2.094104992528762,Moderate Risk
2023,25.61441095890411,55.2869589041096,876.75,Lucknow,0.4329182883739568,2.972002015658223,-0.2922269862687655,-0.17141471759254598,0.5739222746660536,1.037563978527365,Normal
2024,25.907131147540984,54.38245901639344,919.48,Lucknow,0.4011959998510601,1.8220008825568927,0.11965869236012255,0.004136631514920828,0.41304024197359424,0.5368355658486377,Normal
2015,26.39128767123288,43.29586301369863,589.35,Agra,0.4146132175805749,3.30971253270213,0.8009138502365811,-1.3521649570843768,-1.558915890665916,3.711994697986874,High Risk
2016,26.95371584699453,42.14685792349727,771.76,Agra,0.3579280833051331,2.7699190524469337,1.5923048094060184,-0.6027542013929891,-1.7632876954566592,3.958346706255667,High Risk
2017,27.21909589041096,39.36076712328767,454.06,Agra,0.3038931562019947,3.153938122551968,1.9657202536435734,-1.907988547553583,-2.2588454697481013,6.132554270945258,High Risk
2018,26.341506849315067,46.32767123287671,857.98,Agra,0.3916536215687871,3.292996430384928,0.7308674085688412,-0.24852912954543965,-1.0196527291561182,1.999049267270399,Moderate Risk
2019,26.030219178082195,50.75860273972602,698.9,Agra,0.3157575508814179,3.1829989646759,0.29285548219087926,-0.902091231488239,-0.23152961579352402,1.4264763294726424,Normal
2020,26.19669398907104,46.16226775956284,510.4,Agra,0.3420148735023782,3.7034802885033167,0.5271016775696924,-1.6765220601041406,-1.0490727958277897,3.2526965335016227,High Risk
2021,25.944027397260275,51.01701369863014,852.21,Agra,0.3623960241748153,3.896999814574448,0.1715752920496075,-0.2722345188351677,-0.1855664477455169,0.6293762586302921,Normal
2022,26.235726027397263,52.31093150684932,775.58,Agra,0.3997935058335915,3.831965542038268,0.5820235388500177,-0.5870601655027355,0.04458076393506487,1.213664468287818,Normal
2023,25.90109589041096,51.30161643835616,687.78,Agra,0.3769156536817803,3.705999697748224,0.11116650058382171,-0.9477764877970392,-0.1349445870921363,1.193887575472997,Normal
2024,25.917786885245903,53.58273224043715,1016.9,Agra,0.3695313044105213,2.411001499603046,0.13465234816610003,0.4043756305799665,0.27079404486316483,0.8098220236092314,Normal
2015,27.15320547945205,48.8188493150685,713.1899999999999,Varanasi,0.3702959479333178,2.144497497223144,1.873006058700864,-0.843382390422344,-0.5765506358281796,3.2929390849513873,High Risk
2016,26.76273224043716,53.666420765027326,1039.25,Varanasi,0.3544796960084364,2.534661846145017,1.3235723630373846,0.49619806569702446,0.28567959668240944,2.1054500254168182,Moderate Risk
2017,27.14452054794521,51.194,765.5,Varanasi,0.3471587865279869,2.541572357489566,1.8607855182448085,-0.6284726999984827,-0.1540861608932985,2.64334437913659,Moderate Risk
2018,27.03956164383562,48.42309589041096,761.7,Varanasi,0.3170444261372581,2.822997934832492,1.7130981665502105,-0.6440845681615617,-0.6469427013978838,3.004125436109656,High Risk
2019,26.474246575342463,56.47682191780822,1059.67,Varanasi,0.3571274480433941,2.512917676226968,0.917645069482521,0.5800913151417818,0.7855614167700498,2.283297801394353,Moderate Risk
2020,25.216803278688527,62.67448087431694,1040.55,Varanasi,0.3760429036544004,2.802964242235497,-0.8516995322393202,0.5015389679633409,1.887929680601877,3.241168180804538,High Risk
