State_Name,District_Name,Year,T2M,RH2M,PRECTOTCORR,NDVI,Crop,Yield,Crop_Encoded,State_Encoded,District_Encoded,Temp_Anomaly,Rainfall_Anomaly,Humidity_Anomaly,Previous_Yield,Rolling_Yield_Mean,Yield_Change_Percent,NDVI_Trend
rajasthan,ajmer,2017,25.555999999999987,41.10484931506849,509.92,0.284024538141001,arhar/tur,0.2105263157894736,0,0,1,0.02199739773661591,-12.545090909090902,-2.10833576546964,0.0,0.2105263157894736,0.0,0.0
rajasthan,ajmer,2020,25.280710382513647,46.57295081967212,512.03,0.3132876558838284,arhar/tur,1.0,0,0,1,-0.25329221974972427,-10.435090909090945,3.359765739133991,0.2105263157894736,0.6052631578947368,3.7500000000000018,0.029263117742827416
rajasthan,ajmer,2015,25.43060273972604,41.96539726027397,430.87,0.256618779929765,bajra,0.0685873980129548,1,0,1,-0.10339986253733002,-91.59509090909091,-1.2477878202641648,0.0,0.0685873980129548,0.0,0.0
rajasthan,ajmer,2016,25.97229508196723,42.85999999999998,593.3600000000001,0.275279729212064,bajra,0.8097110281108708,1,0,1,0.43829247970385765,70.89490909090921,-0.3531850805381538,0.0685873980129548,0.4391492130619128,10.8055364625136,0.018660949282299
rajasthan,ajmer,2017,25.555999999999987,41.10484931506849,509.92,0.284024538141001,bajra,0.9820845151330198,1,0,1,0.02199739773661591,-12.545090909090902,-2.10833576546964,0.8097110281108708,0.6201276470856151,0.21288272116573714,0.008744808928936976
rajasthan,ajmer,2018,25.934876712328737,37.5802191780822,393.43,0.2779824171209696,bajra,0.9794967828675694,1,0,1,0.40087411006536655,-129.0350909090909,-5.632965902455929,0.9820845151330198,0.92376410870382,-0.0026349384656573216,-0.006042121020031377
rajasthan,ajmer,2019,24.98482191780824,49.89808219178078,727.7900000000001,0.2482136029020386,bajra,0.0757458576484098,1,0,1,-0.5491806844551306,205.32490909090916,6.684897111242648,0.9794967828675694,0.6791090518829996,-0.9226685998634353,-0.029768814218931017
rajasthan,ajmer,2020,25.280710382513647,46.57295081967212,512.03,0.3132876558838284,bajra,1.3612836877928798,1,0,1,-0.25329221974972427,-10.435090909090945,3.359765739133991,0.0757458576484098,0.805508776102953,16.97172452798095,0.06507405298178981
rajasthan,ajmer,2015,25.43060273972604,41.96539726027397,430.87,0.256618779929765,barley,1.74828352180937,3,0,1,-0.10339986253733002,-91.59509090909091,-1.2477878202641648,0.0,1.74828352180937,0.0,0.0
rajasthan,ajmer,2016,25.97229508196723,42.85999999999998,593.3600000000001,0.275279729212064,barley,2.155636281076172,3,0,1,0.43829247970385765,70.89490909090921,-0.3531850805381538,1.74828352180937,1.951959901442771,0.23300154361989067,0.018660949282299
