Year,T2M,RH2M,PRECTOTCORR,District_Name,NDVI,Yield
2015,26.667506849315068,44.51687671232877,629.19,Lucknow,0.4903875128599269,2.3689295548137137
2016,26.60890710382514,46.55125683060109,869.86,Lucknow,0.3825161584351987,2.670001308480141
2017,26.42158904109589,48.90871232876712,960.07,Lucknow,0.378340454614071,2.580003138087939
2018,26.09906849315069,50.69367123287671,1216.01,Lucknow,0.3827652624878357,2.730016449328915
2019,25.41419178082192,57.75397260273973,1122.86,Lucknow,0.3945737164918589,2.6619956539613554
2020,24.975819672131145,56.59530054644809,900.43,Lucknow,0.4232906831113631,2.8280154990552275
2021,25.460520547945205,54.87734246575342,1047.85,Lucknow,0.4292200929026694,2.704001264068843
2022,25.61158904109589,57.86668493150685,1104.71,Lucknow,0.4289154559379068,2.871995970643258
2023,25.61441095890411,55.2869589041096,876.75,Lucknow,0.4329182883739568,2.972002015658223
2024,25.907131147540984,54.38245901639344,919.48,Lucknow,0.4011959998510601,1.8220008825568932
2015,26.39128767123288,43.29586301369863,589.35,Agra,0.4146132175805749,3.30971253270213
2016,26.95371584699453,42.14685792349727,771.76,Agra,0.3579280833051331,2.7699190524469337
2017,27.21909589041096,39.36076712328767,454.06,Agra,0.3038931562019947,3.153938122551968
2018,26.341506849315067,46.32767123287671,857.98,Agra,0.3916536215687871,3.2929964303849277
2019,26.030219178082195,50.75860273972602,698.9,Agra,0.3157575508814179,3.1829989646759
2020,26.19669398907104,46.16226775956284,510.4,Agra,0.3420148735023782,3.7034802885033167
2021,25.944027397260275,51.01701369863014,852.21,Agra,0.3623960241748153,3.896999814574448
2022,26.235726027397263,52.31093150684932,775.58,Agra,0.3997935058335915,3.831965542038268
2023,25.90109589041096,51.30161643835616,687.78,Agra,0.3769156536817803,3.705999697748224
2024,25.917786885245903,53.58273224043715,1016.9,Agra,0.3695313044105213,2.411001499603046
2015,27.15320547945205,48.8188493150685,713.1899999999999,Varanasi,0.3702959479333178,2.144497497223144
2016,26.76273224043716,53.666420765027326,1039.25,Varanasi,0.3544796960084364,2.534661846145017
2017,27.14452054794521,51.194,765.5,Varanasi,0.3471587865279869,2.541572357489566
2018,27.03956164383562,48.42309589041096,761.7,Varanasi,0.3170444261372581,2.822997934832492
2019,26.474246575342463,56.47682191780822,1059.67,Varanasi,0.3571274480433941,2.512917676226968
2020,25.216803278688527,62.67448087431694,1040.55,Varanasi,0.3760429036544004,2.802964242235497
2021,25.773890410958906,58.47260273972603,1114.41,Varanasi,0.3981069904278235,3.022281281425083
2022,26.313726027397266,56.56161643835617,845.88,Varanasi,0.3717226106801006,3.0788178753317554
2023,26.70917808219178,53.26293150684932,778.13,Varanasi,0.4192175310615291,2.7227337569705616
2024,26.640054644808743,55.44133879781421,919.94,Varanasi,0.3917631388589313,1.8509990235655889
2015,25.143671232876716,51.25235616438356,1154.19,Bareilly,0.2924412929240715,2.5350010910738963
2016,25.748852459016398,47.53765027322404,1068.98,Bareilly,0.3687914599341044,2.8500010162188527
2017,25.761561643835616,49.2612602739726,938.75,Bareilly,0.3743144974370714,2.8229987684729063
2018,25.26605479452055,52.4834794520548,1265.42,Bareilly,0.4132192220334904,2.98599782490484
2019,25.132986301369865,55.17087671232876,951.35,Bareilly,0.4016325280309646,2.794997859382121
2020,24.51969945355191,55.86904371584699,1010.58,Bareilly,0.4050488910142954,2.9140020811857874
2021,24.6233698630137,56.84180821917808,1218.28,Bareilly,0.4179465383591956,3.252998172304149
2022,25.25246575342465,58.35572602739726,902.82,Bareilly,0.4259621817938022,3.069997953714009
2023,24.77364383561644,58.31295890410959,1061.8,Bareilly,0.448770218647205,3.1509987602975285
2024,25.333743169398907,55.50437158469945,1072.45,Bareilly,0.3627271985423538,1.857999604888099
