Year,T2M,RH2M,PRECTOTCORR,NDVI,Yield
2015,26.54646575342466,46.6511506849315,737.89,0.3997173103866568,2.569311158648497
2016,26.391229508196723,49.130409836065574,1050.69,0.3821460131645703,2.6048714065443415
2017,26.23139726027397,51.59854794520548,1128.51,0.3765247953522271,2.636773372483382
2018,25.947150684931504,52.35928767123288,1381.52,0.4039975160749103,2.758699241675484
2019,25.40364383561644,58.92657534246575,1300.6,0.376034167254643,2.7645558737916747
2020,24.76833333333333,59.20180327868852,1021.82,0.4034971396109948,3.007936338559548
2021,25.170630136986304,57.92421917808219,1346.25,0.407270114540708,2.955321717730455
2022,25.45295890410959,59.90339726027398,1071.97,0.4147969337274712,3.000471679409015
2023,25.545698630136986,56.90852054794521,953.08,0.4243565465413748,3.02102117176052
2024,25.793032786885245,56.15374316939891,1163.97,0.3959153597431824,2.9129983010555116
