Year,T2M,RH2M,PRECTOTCORR,District_Name,NDVI,Yield,Temp_Anomaly,Rain_Anomaly,Humidity_Anomaly,Climate_Anomaly_Score,Previous_Year_Yield,Rolling_Temp_Avg,Rolling_Rainfall_Avg,District_Encoded
2016,26.95371584699453,42.14685792349727,771.76,agra,0.3497214099001204,2.7699190524469337,1.1315112896486568,-186.41407917383822,-10.90761457224103,13.90326665362807,3.30971253270213,26.672501759113707,680.5550000000001,0
2017,27.21909589041096,39.36076712328767,454.06,agra,0.2979693280227822,3.153938122551968,1.396891333065085,-504.1140791738382,-13.69370537245063,20.131737497254097,2.7699190524469337,26.854699802879455,605.0566666666667,0
2018,26.341506849315067,46.32767123287671,857.98,agra,0.387408251976401,3.292996430384928,0.5193022919691934,-100.19407917383819,-6.726801262861592,8.248044346569166,3.153938122551968,26.838106195573516,694.6,0
2019,26.030219178082195,50.75860273972602,698.9,agra,0.30523449826497,3.1829989646759,0.20801462073632138,-259.27407917383823,-2.29586975601228,5.096625168486984,3.292996430384928,26.530273972602743,670.3133333333334,0
2020,26.19669398907104,46.16226775956284,510.4,agra,0.3369986341476467,3.7034802885033167,0.37448943172516636,-447.77407917383823,-6.892204736175465,11.744434959639014,3.1829989646759,26.18947333882277,689.0933333333332,0
2021,25.944027397260275,51.01701369863014,852.21,agra,0.3551242317746722,3.896999814574448,0.12182283991440102,-105.96407917383817,-2.0374587971081652,3.2189224287609477,3.7034802885033167,26.05698018813784,687.1700000000001,0
2022,26.235726027397263,52.31093150684932,775.58,agra,0.3932389768939214,3.831965542038268,0.4135214700513892,-182.59407917383817,-0.7435409888889808,2.9830032506787516,3.896999814574448,26.12548247124286,712.73,0
2023,25.90109589041096,51.30161643835616,687.78,agra,0.3736934364512257,3.705999697748224,0.07889133306508711,-270.39407917383824,-1.7528560573821395,4.535688182185609,3.831965542038268,26.026949771689498,771.8566666666667,0
2024,25.917786885245903,53.58273224043715,1016.9,agra,0.3606172723032653,2.411001499603046,0.09558232790002918,58.72592082616177,0.5282597446988504,1.2111012808604973,3.705999697748224,26.018202934351375,826.7533333333334,0
2016,26.455519125683058,40.8746174863388,686.07,aligarh,0.3411655105199218,2.855999173828318,0.6333145683371839,-272.10407917383816,-12.179855009399503,15.534210369475069,3.045002254063123,26.14997874092372,658.7550000000001,1
2017,26.212246575342466,42.043506849315065,589.0600000000001,aligarh,0.3374491118298999,3.2169997721958,0.390042017996592,-369.11407917383815,-11.010965646423237,15.09214845615821,2.855999173828318,26.17073468572997,635.5233333333334,1
2018,25.771424657534247,46.9992602739726,782.17,aligarh,0.4130934496700231,3.3869999412293907,-0.05077989981162645,-176.00407917383825,-6.0552122217657,7.866032913315709,3.2169997721958,26.14639678618659,685.7666666666668,1
2019,25.70991780821918,49.25805479452055,601.42,aligarh,0.3463360329415405,3.193001708532402,-0.11228674912669234,-356.75407917383825,-3.796417701217756,7.476245242082831,3.3869999412293907,25.89786301369863,657.55,1
2020,25.511803278688525,47.73060109289618,555.76,aligarh,0.3907261289624492,3.5450004282964174,-0.31040127865734846,-402.4140791738382,-5.323871402842123,9.658413473237854,3.193001708532402,25.664381914813987,646.4499999999999,1
2021,24.974438356164384,53.848821917808216,971.42,aligarh,0.3905748945624361,3.7659994490864017,-0.8477662011814893,13.24592082616175,0.7943494220699137,1.7745748315130205,3.5450004282964174,25.398719814357364,709.5333333333333,1
2022,25.69690410958904,53.55534246575343,749.94,aligarh,0.4154560407030517,3.465000412136976,-0.12530044775683535,-208.23407917383815,0.500869970015124,2.7085112095103407,3.7659994490864017,25.394381914813987,759.04,1
2023,25.133397260273973,53.60934246575342,782.89,aligarh,0.4412468684469182,3.601001380449112,-0.6888072970719001,-175.28407917383822,0.554869970015119,2.9965180588254015,3.465000412136976,25.268246575342463,834.75,1
2024,25.653797814207653,51.65967213114754,817.63,aligarh,0.3861236342318626,2.448001719913825,-0.16840674313822035,-140.5440791738382,-1.3948003645907647,2.968647899467367,3.601001380449112,25.49469972802355,783.4866666666667,1
2016,26.439262295081967,52.39251366120219,1054.17,ambedkar nagar,0.426523415968687,2.959996865913325,0.6170577377360935,95.99592082616186,-0.6619588345361151,2.2389757805338273,2.977000078408824,26.563137996856053,920.425,2
2017,26.49353424657534,53.75783561643836,1037.41,ambedkar nagar,0.3828148310960647,3.243998581943413,0.6713296892294665,79.23592082616187,0.703363120700061,2.1670520181911463,2.959996865913325,26.539936746762482,959.4200000000001,2
2018,26.11802739726028,52.51901369863013,1016.98,ambedkar nagar,0.4032558635431197,3.312999932782147,0.2958228399144076,58.80592082616181,-0.5354587971081699,1.4193408452841956,3.243998581943413,26.350274646305863,1036.1866666666667,2
2019,25.829342465753424,59.243013698630136,1204.39,ambedkar nagar,0.394999387927938,3.1300026675156825,0.007137908407550242,246.2159208261619,6.188541202891834,8.657838319561003,3.312999932782147,26.14696803652968,1086.26,2
2020,24.654972677595627,64.13775956284152,1253.38,ambedkar nagar,0.4169893565444862,3.3520012684095555,-1.167231879750247,295.2059208261619,11.083287067103221,15.202578155115088,3.1300026675156825,25.534114180203108,1158.25,2
2021,25.138794520547943,61.91372602739725,1552.06,ambedkar nagar,0.4284799872227513,3.3569987966713555,-0.6834100367979303,593.8859208261617,8.85925353165895,15.4815227767185,3.3520012684095555,25.207703221299,1336.6100000000001,2
2022,25.537589041095888,61.74783561643835,982.42,ambedkar nagar,0.4090372882819127,3.341996703193461,-0.2846155162499855,24.24592082616175,8.693363120700049,9.220437845211652,3.3569987966713555,25.110452079746484,1262.6200000000001,2
2023,26.074273972602743,56.29917808219178,893.6,ambedkar nagar,0.4068235169186462,3.4439996959947305,0.25206941525686943,-64.57407917383819,3.2447055864534775,4.1425157934487284,3.341996703193461,25.583552511415522,1142.6933333333334,2
2024,26.24344262295082,56.2529781420765,1019.74,ambedkar nagar,0.4122020653596012,2.297000774154881,0.42123806560494614,61.5659208261618,3.198505646338198,4.235402920204763,3.4439996959947305,25.951768545549815,965.2533333333334,2
2016,27.092185792349728,43.94827868852459,707.34,auraiya,0.3602149067622758,3.138002920696734,1.2699812350038542,-250.83407917383818,-9.106193807213714,12.88451583395595,2.924995087014433,26.84202440302418,677.73,3
2017,27.379534246575343,41.67816438356164,532.12,auraiya,0.3463937831404,3.0560042339243187,1.5573296892294692,-426.0540791738382,-11.376308112176659,17.19417859314451,3.138002920696734,27.021194350874566,629.1933333333333,3
2018,26.617232876712333,47.38183561643835,901.09,auraiya,0.4241117204941609,3.537995465959112,0.7950283193664589,-57.08407917383818,-5.672636879299951,7.038505990404792,3.0560042339243187,27.029650971879136,713.5166666666668,3
2019,25.92583561643836,54.11734246575342,844.85,auraiya,0.3393675404797026,2.8730007329390856,0.1036310590924856,-113.32407917383819,1.0628699700151145,2.299741820845982,3.537995465959112,26.640867579908676,759.3533333333334,3
2020,25.928825136612023,50.64256830601093,684.09,auraiya,0.4047858820802457,3.7509987478385294,0.1066205792661492,-274.0840791738382,-2.411904189727373,5.259365560731904,2.8730007329390856,26.157297876587574,810.0100000000001,3
2021,26.030054794520545,51.732164383561646,885.86,auraiya,0.410526867712608,3.8480016546181575,0.20785023717467155,-72.3140791738382,-1.322308112176657,2.2532991410897103,3.7509987478385294,25.961571849190307,804.9333333333334,3
2022,26.07180821917808,54.85586301369863,950.33,auraiya,0.4241495755688659,3.627995831886072,0.24960366183220728,-7.844079173838168,1.8013905179603285,2.1294349715309173,3.8480016546181575,26.010229383436883,840.0933333333334,3
2023,25.99284931506849,52.7465205479452,735.4,auraiya,0.4402984989963551,3.813998505088449,0.17064475772261645,-222.77407917383823,-0.3079519477931001,2.706337497254099,3.627995831886072,26.031570776255705,857.1966666666667,3
2024,26.093743169398905,54.27352459016394,930.87,auraiya,0.3977472245431392,2.264996501854496,0.27153861205303187,-27.304079173838204,1.219052094425635,1.7636314982170487,3.813998505088449,26.05280023454849,872.1999999999999,3
2016,26.432650273224045,53.77877049180328,1006.81,azamgarh,0.3915406827596206,2.448998125014119,0.6104457158781713,48.63592082616174,0.7242979960649762,1.821102920204765,2.397999261321154,26.651873081817502,860.22,4
2017,26.62315068493151,53.30945205479452,867.65,azamgarh,0.383046281860554,2.5939997991783774,0.800946127585636,-90.52407917383823,0.25497955905621694,1.9611664783802354,2.448998125014119,26.64229894952217,862.6966666666667,4
2018,26.463150684931502,50.792630136986304,841.05,azamgarh,0.3373946452195279,2.7300002157823187,0.6409461275856287,-117.12407917383825,-2.2618423587519985,4.07402927807601,2.5939997991783774,26.506317214362355,905.17,4
2019,26.047589041095893,58.28934246575343,1098.19,azamgarh,0.3462773583728076,2.586992091628034,0.22538448375001963,140.01592082616185,5.234869970015126,6.8604136620267635,2.7300002157823187,26.37796347031964,935.63,4
2020,24.74530054644809,64.11562841530055,1099.37,azamgarh,0.3893196893380513,2.7970014657399407,-1.0769040108977848,141.19592082616168,11.061155919562246,13.550019138721648,2.586992091628034,25.752013424158495,1012.8699999999999,4
2021,25.28416438356164,61.07717808219178,1269.2,azamgarh,0.4192567289241015,2.892001697895822,-0.538040173784232,311.02592082616184,8.022705586453476,11.671004968499327,2.7970014657399407,25.35901799036854,1155.5866666666666,4
2022,25.789917808219176,59.68279452054795,886.4,azamgarh,0.3836561317855203,2.943001400144257,-0.0322867491266976,-71.77407917383823,6.628322024809648,7.378349565674728,2.892001697895822,25.273127579409636,1084.99,4
